symbol,direction,opened_at_utc,closed_at_utc,hold_duration_minutes,close_reason,planned_entry_price,actual_entry_price,entry_slippage_usd,planned_exit_price,actual_exit_price,exit_slippage_usd,contract_quantity,notional_position_usd,exchange_fees_paid,idealized_pnl_usd,realized_binance_pnl,total_friction_loss_usd,net_wallet_delta_usd,entry_order_id,exit_order_id,notes
DOGEUSDT,SHORT,2026-09-16T07:00:09.831000+00:00,2026-09-16T07:03:32.405000+00:00,3.4,SIGNAL_FLIP,0.08004,0.0802,1.9851,0.08034,0.08034,-0.0,12407.0,995.04,0.7967,-3.7221,-1.737,-1.9851,-2.5337,2344354132,2344356032,Direct Binance Execution (SIGNAL_FLIP) via Order 2344356032
ETHUSDT,SHORT,2026-09-16T07:39:51.313000+00:00,2026-09-16T09:45:11.855000+00:00,125.3,SIGNAL_FLIP,2399.81,2399.81,-0.0,2403.39,2403.39,-0.0,0.413,991.12,0.5953,-1.4785,-1.4785,0.0,-2.0738,16795949910,16796019059,Direct Binance Execution (SIGNAL_FLIP) via Order 16796019059
BTCUSDT,SHORT,2026-09-16T08:05:20.265000+00:00,2026-09-16T10:02:31.978000+00:00,117.2,SIGNAL_FLIP,75773.1,75773.1,-0.0,75996.2,75996.2,-0.0,0.013,985.05,0.5922,-2.9003,-2.9003,0.0,-3.4925,28587494550,28587587462,Direct Binance Execution (SIGNAL_FLIP) via Order 28587587462
DOGEUSDT,SHORT,2026-09-16T07:15:10.532000+00:00,2026-09-16T11:15:09.205000+00:00,240.0,SIGNAL_FLIP,0.07999,0.07999,-0.0,0.07989,0.07989,-0.0,12392.0,991.24,0.7925,1.2392,1.2392,0.0,0.4467,2344363137,2344481852,Direct Binance Execution (SIGNAL_FLIP) via Order 2344481852
ETHUSDT,SHORT,2026-09-16T13:45:24.380000+00:00,2026-09-16T14:00:12.379000+00:00,14.8,SIGNAL_FLIP,2398.16,2398.16,-0.0,2393.11,2393.11,-0.0,0.071,170.27,0.4294,0.3585,2.089,-1.7305,1.6596,16796156249,16796164575,Direct Binance Execution (SIGNAL_FLIP) via Order 16796164575
DOGEUSDT,SHORT,2026-09-16T13:00:10.650000+00:00,2026-09-16T18:06:08.011000+00:00,306.0,SIGNAL_FLIP,0.0793,0.07931,0.1249,0.07998,0.07998,-0.0,12487.0,990.34,0.7956,-8.4912,-8.3663,-0.1249,-9.1619,2344537422,2344710762,Direct Binance Execution (SIGNAL_FLIP) via Order 2344710762
BTCUSDT,SHORT,2026-09-16T13:45:10.245000+00:00,2026-09-16T18:10:37.654000+00:00,265.5,SIGNAL_FLIP,75742.9,75754.3,0.1482,76100.0,76100.0,-0.0,0.013,984.81,0.7896,-4.6423,-4.4941,-0.1482,-5.2837,28587755482,28587951299,Direct Binance Execution (SIGNAL_FLIP) via Order 28587951299
BTCUSDT,SHORT,2026-09-16T19:45:09.416000+00:00,2026-09-16T19:46:43.979000+00:00,1.6,SIGNAL_FLIP,75494.9,75847.0,4.5773,75982.4,75982.4,-0.0,0.013,986.01,0.7895,-6.3375,-1.7602,-4.5773,-2.5497,28588035380,28588036646,Direct Binance Execution (SIGNAL_FLIP) via Order 28588036646
SOLUSDT,SHORT,2026-09-16T23:00:18.018000+00:00,2026-09-16T23:15:12.516000+00:00,14.9,SIGNAL_FLIP,97.44,97.45,0.1013,97.7,97.7,-0.0,10.13,987.17,0.7907,-2.6338,-2.5325,-0.1013,-3.3232,4205565796,4205574251,Direct Binance Execution (SIGNAL_FLIP) via Order 4205574251
ETHUSDT,SHORT,2026-09-16T23:09:26.093000+00:00,2026-09-16T23:20:56.842000+00:00,11.5,SIGNAL_FLIP,2396.72,2396.72,-0.0,2409.49,2409.49,-0.0,0.412,987.45,0.5946,-5.2612,-5.2612,0.0,-5.8558,16796466236,16796477531,Direct Binance Execution (SIGNAL_FLIP) via Order 16796477531
SOLUSDT,SHORT,2026-09-16T23:15:17.466000+00:00,2026-09-16T23:23:26.610000+00:00,8.2,SIGNAL_FLIP,97.44,97.51,0.0742,98.35,98.35,-0.0,1.06,103.36,0.4395,-0.9646,-7.0026,6.038,-7.4421,4205574294,4205579214,Direct Binance Execution (SIGNAL_FLIP) via Order 4205579214
BTCUSDT,SHORT,2026-09-16T22:45:08.992000+00:00,2026-09-16T23:40:11.447000+00:00,55.0,SIGNAL_FLIP,75722.5,75726.1,0.0072,76093.1,76093.1,-0.0,0.002,151.45,0.4563,-0.7412,-4.771,4.0298,-5.2273,28588156816,28588189338,Direct Binance Execution (SIGNAL_FLIP) via Order 28588189338
XRPUSDT,SHORT,2026-09-17T05:45:21.662000+00:00,2026-09-17T06:45:12.801000+00:00,59.9,SIGNAL_FLIP,1.2948,1.2948,-0.0,1.3017,1.3017,-0.0,741.2,959.71,0.5871,-5.1143,-5.2364,0.1221,-5.8235,3503804021,3503832804,Direct Binance Execution (SIGNAL_FLIP) via Order 3503832804
BTCUSDT,SHORT,2026-09-17T10:45:22.999000+00:00,2026-09-17T12:12:15.063000+00:00,86.9,SIGNAL_FLIP,76329.3,76329.3,-0.0,76598.8,76598.8,-0.0,0.0114,870.15,0.5662,-3.0723,-3.4496,0.3773,-4.0158,28588592229,28588647622,Direct Binance Execution (SIGNAL_FLIP) via Order 28588647622
BTCUSDT,SHORT,2026-09-17T15:30:15.515000+00:00,2026-09-17T15:40:39.062000+00:00,10.4,SIGNAL_FLIP,76413.3,76414.4,0.0141,76677.6,76677.6,-0.0,0.0128,978.1,0.7838,-3.383,-3.369,-0.0141,-4.1528,28588779785,28588786140,Direct Binance Execution (SIGNAL_FLIP) via Order 28588786140
SOLUSDT,LONG,2026-09-17T20:31:06.691000+00:00,2026-09-17T22:30:13.029000+00:00,119.1,SIGNAL_FLIP,101.29,101.29,0.0,100.78,100.78,0.0,0.03,3.04,0.3904,-0.0153,-4.9317,4.9164,-5.3221,4206129876,4206174017,Direct Binance Execution (SIGNAL_FLIP) via Order 4206174017
DOGEUSDT,LONG,2026-09-18T00:15:10.380000+00:00,2026-09-18T00:22:13.066000+00:00,7.0,SIGNAL_FLIP,0.08175,0.0816,1.7953,0.08147,0.08147,0.0,11969.0,976.67,0.7807,-3.3513,-1.556,-1.7954,-2.3367,2345620339,2345622863,Direct Binance Execution (SIGNAL_FLIP) via Order 2345622863
XRPUSDT,SHORT,2026-09-17T18:00:14.344000+00:00,2026-09-18T01:00:13.300000+00:00,420.0,SIGNAL_FLIP,1.2999,1.2999,-0.0,1.3001,1.3001,-0.0,753.8,979.86,0.784,-0.1508,-0.1508,0.0,-0.9347,3504130640,3504310375,Direct Binance Execution (SIGNAL_FLIP) via Order 3504310375
SOLUSDT,LONG,2026-09-17T22:45:14.680000+00:00,2026-09-18T01:51:09.083000+00:00,185.9,SIGNAL_FLIP,101.4,101.4,0.0,102.57,102.57,0.0,9.65,978.51,0.7873,11.2905,11.2905,-0.0,10.5032,4206180100,4206257840,Direct Binance Execution (SIGNAL_FLIP) via Order 4206257840
SOLUSDT,LONG,2026-09-19T00:45:14.346000+00:00,2026-09-19T01:37:08.084000+00:00,51.9,SIGNAL_FLIP,113.31,113.31,0.0,112.96,112.96,0.0,8.65,980.13,0.5869,-3.0275,-3.0275,-0.0,-3.6144,4206951747,4206978323,Direct Binance Execution (SIGNAL_FLIP) via Order 4206978323
DOGEUSDT,LONG,2026-09-19T02:30:10.311000+00:00,2026-09-19T03:30:39.062000+00:00,60.5,SIGNAL_FLIP,0.08848,0.08825,2.5461,0.08779,0.08779,0.0,11070.0,976.93,0.7795,-7.6383,-5.0922,-2.5461,-5.8717,2346443269,2346475955,Direct Binance Execution (SIGNAL_FLIP) via Order 2346475955
BTCUSDT,SHORT,2026-09-19T04:15:09.336000+00:00,2026-09-19T08:18:22.071000+00:00,243.2,SIGNAL_FLIP,81114.0,81152.1,0.4572,81182.5,81182.5,-0.0,0.012,973.83,0.7792,-0.822,-0.3648,-0.4572,-1.144,28591175000,28591362447,Direct Binance Execution (SIGNAL_FLIP) via Order 28591362447
BTCUSDT,LONG,2026-09-19T08:30:26.533000+00:00,2026-09-19T13:45:08.084000+00:00,314.7,SIGNAL_FLIP,81220.0,81220.0,0.0,81211.2,81211.2,0.0,0.012,974.64,0.5847,-0.1056,-0.1056,-0.0,-0.6903,28591371754,28591603624,Direct Binance Execution (SIGNAL_FLIP) via Order 28591603624
DOGEUSDT,LONG,2026-09-19T10:48:43.588000+00:00,2026-09-19T14:18:18.071000+00:00,209.6,SIGNAL_FLIP,0.08772,0.08772,0.0,0.08938,0.08938,0.0,11160.0,978.96,0.5948,18.5256,18.5256,-0.0,17.9308,2346695071,2346810024,Direct Binance Execution (SIGNAL_FLIP) via Order 2346810024
SOLUSDT,LONG,2026-09-19T15:30:14.326000+00:00,2026-09-19T16:00:13.224000+00:00,30.0,SIGNAL_FLIP,111.91,111.75,1.4032,111.59,111.59,0.0,8.77,980.05,0.7835,-2.8064,-1.4032,-1.4032,-2.1867,4207373500,4207388168,Direct Binance Execution (SIGNAL_FLIP) via Order 4207388168
SOLUSDT,LONG,2026-09-19T17:00:12.971000+00:00,2026-09-19T17:28:29.071000+00:00,28.3,SIGNAL_FLIP,111.95,111.84,0.0979,111.51,111.51,0.0,0.89,99.54,0.4305,-0.3916,-3.1269,2.7353,-3.5574,4207416616,4207429478,Direct Binance Execution (SIGNAL_FLIP) via Order 4207429478
ETHUSDT,LONG,2026-09-19T14:45:12.165000+00:00,2026-09-19T19:00:10.996000+00:00,255.0,SIGNAL_FLIP,2642.04,2637.98,1.5063,2637.99,2637.99,0.0,0.371,978.69,0.783,-1.5026,0.0037,-1.5063,-0.7792,16798748019,16798910382,Direct Binance Execution (SIGNAL_FLIP) via Order 16798910382
SOLUSDT,LONG,2026-09-20T00:46:11.668000+00:00,2026-09-20T01:08:42.091000+00:00,22.5,SIGNAL_FLIP,111.08,111.08,0.0,110.74,110.74,0.0,0.02,2.22,0.3916,-0.0068,-3.0022,2.9954,-3.3938,4207643159,4207653670,Direct Binance Execution (SIGNAL_FLIP) via Order 4207653670
BTCUSDT,LONG,2026-09-20T00:45:39.538000+00:00,2026-09-20T01:13:33.062000+00:00,27.9,SIGNAL_FLIP,81281.5,81281.5,0.0,81172.3,81172.3,0.0,0.0001,8.13,0.3913,-0.0109,-1.3104,1.2995,-1.7017,28592190978,28592212055,Direct Binance Execution (SIGNAL_FLIP) via Order 28592212055
DOGEUSDT,SHORT,2026-09-20T14:00:19.269000+00:00,2026-09-20T14:03:07.067000+00:00,2.8,SIGNAL_FLIP,0.08491,0.08491,-0.0,0.08519,0.08519,-0.0,9619.0,816.75,0.5562,-2.6933,-3.2284,0.5351,-3.7846,2347546734,2347549374,Direct Binance Execution (SIGNAL_FLIP) via Order 2347549374
BTCUSDT,LONG,2026-09-20T23:05:07.045000+00:00,2026-09-21T01:23:22.064000+00:00,138.3,SIGNAL_FLIP,81140.0,81140.0,0.0,81750.0,81750.0,0.0,0.012,973.68,0.5871,7.32,7.32,0.0,6.7329,28593592825,28593736020,Direct Binance Execution (SIGNAL_FLIP) via Order 28593736020
BTCUSDT,SHORT,2026-09-21T04:34:26.323000+00:00,2026-09-21T05:00:08.781000+00:00,25.7,SIGNAL_FLIP,81249.0,81249.0,-0.0,81394.1,81394.1,-0.0,0.012,974.99,0.5857,-1.7412,-1.7412,-0.0,-2.3269,28593898984,28593922559,Direct Binance Execution (SIGNAL_FLIP) via Order 28593922559
BTCUSDT,LONG,2026-09-21T05:07:18.903000+00:00,2026-09-21T08:23:10.095000+00:00,195.9,SIGNAL_FLIP,81375.5,81375.5,0.0,81946.9,81946.9,0.0,0.012,976.51,0.5886,6.8568,6.8568,-0.0,6.2682,28593922670,28594209862,Direct Binance Execution (SIGNAL_FLIP) via Order 28594209862
ETHUSDT,LONG,2026-09-21T08:30:13.079000+00:00,2026-09-21T09:32:22.071000+00:00,62.1,SIGNAL_FLIP,2677.82,2677.82,0.0,2702.56,2702.56,0.0,0.366,980.08,0.7877,9.0548,9.0548,-0.0,8.2672,16800744617,16800813191,Direct Binance Execution (SIGNAL_FLIP) via Order 16800813191
SOLUSDT,LONG,2026-09-21T19:30:16.678000+00:00,2026-09-22T01:15:12.469000+00:00,344.9,SIGNAL_FLIP,117.88,117.88,0.0,117.89,117.89,0.0,8.06,950.11,0.5828,0.0806,0.0833,-0.0027,-0.4995,4208825839,4208961064,Direct Binance Execution (SIGNAL_FLIP) via Order 4208961064
SOLUSDT,LONG,2026-09-22T15:54:50.016000+00:00,2026-09-22T16:15:18.694000+00:00,20.5,SIGNAL_FLIP,117.48,117.48,0.0,116.74,116.74,0.0,8.35,980.96,0.5861,-6.179,-6.179,-0.0,-6.7651,4209288286,4209299591,Direct Binance Execution (SIGNAL_FLIP) via Order 4209299591
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3874,0.9665,0.0157,0.9508,-0.3718,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3873,0.9665,0.0146,0.9519,-0.3727,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3874,0.9665,0.0151,0.9514,-0.3722,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3872,0.9665,0.0143,0.9522,-0.3729,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3872,0.9665,0.0138,0.9527,-0.3734,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3875,0.9665,0.0162,0.9503,-0.3713,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3873,0.9665,0.0149,0.9516,-0.3725,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3873,0.9665,0.0146,0.9519,-0.3727,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3874,0.9665,0.0151,0.9514,-0.3722,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3875,0.9665,0.016,0.9505,-0.3715,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3873,0.9665,0.0149,0.9516,-0.3725,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3872,0.9665,0.0141,0.9524,-0.3731,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3872,0.9665,0.0143,0.9522,-0.3729,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3872,0.9665,0.0143,0.9522,-0.3729,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3872,0.9665,0.0141,0.9524,-0.3731,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3873,0.9665,0.0146,0.9519,-0.3727,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3873,0.9665,0.0146,0.9519,-0.3727,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3874,0.9665,0.0157,0.9508,-0.3718,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3873,0.9665,0.0146,0.9519,-0.3727,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3874,0.9665,0.0157,0.9508,-0.3718,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3874,0.9665,0.0157,0.9508,-0.3718,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09988,0.09988,0.0,9665.0,962.83,0.7183,0.8698,2.1723,-1.3024,1.454,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3872,0.9665,0.0143,0.9522,-0.3729,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3874,0.9665,0.0157,0.9508,-0.3718,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3872,0.9665,0.0143,0.9522,-0.3729,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3874,0.9665,0.0157,0.9508,-0.3718,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3874,0.9665,0.0154,0.9511,-0.372,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
DOGEUSDT,LONG,2026-09-22T17:45:09.951000+00:00,2026-09-22T18:45:09.511000+00:00,60.0,SIGNAL_FLIP,0.09979,0.09962,1.6431,0.09989,0.09989,0.0,9665.0,962.83,0.3872,0.9665,0.0143,0.9522,-0.3729,2349084808,2349111297,Direct Binance Execution (SIGNAL_FLIP) via Order 2349111297
