symbol,incomeType,income,asset,time,datetime_utc,info
ETHUSDT,REALIZED_PNL,-1.47854,USDT,1789551911000,2026-09-16T09:45:11+00:00,327731093
ETHUSDT,COMMISSION,-0.39704002,USDT,1789551911000,2026-09-16T09:45:11+00:00,327731093
BTCUSDT,REALIZED_PNL,-2.9003,USDT,1789552951000,2026-09-16T10:02:31+00:00,538178970
BTCUSDT,COMMISSION,-0.39518024,USDT,1789552951000,2026-09-16T10:02:31+00:00,538178970
DOGEUSDT,REALIZED_PNL,1.2392,USDT,1789557309000,2026-09-16T11:15:09+00:00,147545150
DOGEUSDT,COMMISSION,-0.39599875,USDT,1789557309000,2026-09-16T11:15:09+00:00,147545150
DOGEUSDT,COMMISSION,-0.39613758,USDT,1789563610000,2026-09-16T13:00:10+00:00,147583931
BTCUSDT,COMMISSION,-0.39392236,USDT,1789566310000,2026-09-16T13:45:10+00:00,538229040
ETHUSDT,COMMISSION,-0.08057952,USDT,1789566315000,2026-09-16T13:45:15+00:00,327800296
ETHUSDT,COMMISSION,-0.12374505,USDT,1789566316000,2026-09-16T13:45:16+00:00,327800298
ETHUSDT,COMMISSION,-0.03405387,USDT,1789566324000,2026-09-16T13:45:24+00:00,327800306
ETHUSDT,REALIZED_PNL,2.08901,USDT,1789567212000,2026-09-16T14:00:12+00:00,327804253
ETHUSDT,COMMISSION,-0.39534177,USDT,1789567212000,2026-09-16T14:00:12+00:00,327804253
BTCUSDT,FUNDING_FEE,0.09852464,USDT,1789574400000,2026-09-16T16:00:00+00:00,FUNDING_FEE
DOGEUSDT,FUNDING_FEE,0.0986473,USDT,1789574400000,2026-09-16T16:00:00+00:00,FUNDING_FEE
DOGEUSDT,REALIZED_PNL,-8.36629,USDT,1789581968000,2026-09-16T18:06:08+00:00,147704022
DOGEUSDT,COMMISSION,-0.3994841,USDT,1789581968000,2026-09-16T18:06:08+00:00,147704022
BTCUSDT,REALIZED_PNL,-4.4941,USDT,1789582237000,2026-09-16T18:10:37+00:00,538290512
BTCUSDT,COMMISSION,-0.39572,USDT,1789582237000,2026-09-16T18:10:37+00:00,538290512
BTCUSDT,COMMISSION,-0.3944044,USDT,1789587909000,2026-09-16T19:45:09+00:00,538318535
BTCUSDT,REALIZED_PNL,-1.7602,USDT,1789588003000,2026-09-16T19:46:43+00:00,538319064
BTCUSDT,COMMISSION,-0.39510848,USDT,1789588003000,2026-09-16T19:46:43+00:00,538319064
BTCUSDT,COMMISSION,-0.06058088,USDT,1789598708000,2026-09-16T22:45:08+00:00,538357871
